Time [s],Channel 0
12.265496320,1
12.265497280,0
12.265943200,1
12.267256960,0
12.267259040,1
12.267260320,0
12.267262400,1
12.267263520,0
12.267656640,1
12.268044960,0
12.268046880,1
12.268048160,0
12.268050240,1
12.268051360,0
12.268493920,1
12.303173120,0
12.303175200,1
12.303176320,0
12.303178720,1
12.303179680,0
12.306662400,1
12.308363680,0
12.308365600,1
12.308366880,0
12.308369280,1
12.308370080,0
12.308815680,1
12.310129760,0
12.310131840,1
12.310133120,0
12.310135360,1
12.310136320,0
12.310525760,1
12.310917920,0
12.310920000,1
12.310921120,0
12.310923520,1
12.310924480,0
12.311370560,1
12.311760320,0
12.311762240,1
12.311763520,0
12.311765760,1
12.311766720,0
12.312212000,1
12.312602720,0
12.312604800,1
12.312605920,0
12.312608320,1
12.312609280,0
12.313054560,1
12.314341920,0
12.314343840,1
12.314345120,0
12.314347520,1
12.314348320,0
12.314769600,1
12.315157120,0
12.315159200,1
12.315160320,0
12.315162560,1
12.315163520,0
12.315609920,1
12.315999680,0
12.316001760,1
12.316002880,0
12.316005120,1
12.316006080,0
12.316451360,1
12.316842080,0
12.316844160,1
12.316845280,0
12.316847680,1
12.316848640,0
12.317293920,1
12.317684480,0
12.317686400,1
12.317687680,0
12.317689920,1
12.317690880,0
12.318132320,1
12.319423200,0
12.319425280,1
12.319426560,0
12.319428800,1
12.319429760,0
12.319844960,1
12.320238560,0
12.320240480,1
12.320241760,0
12.320244160,1
12.320244960,0
12.320686560,1
12.322004640,0
12.322006560,1
12.322007840,0
12.322010080,1
12.322011040,0
12.322400640,1
12.323661920,0
12.323664000,1
12.323665280,0
12.323667520,1
12.323668480,0
12.324110400,1
12.324504320,0
12.324506400,1
12.324507520,0
12.324509920,1
12.324510880,0
12.324952640,1
12.326270560,0
12.326272640,1
12.326273760,0
12.326276160,1
12.326277120,0
12.326666720,1
12.327928000,0
12.327930080,1
12.327931360,0
12.327933600,1
12.327934560,0
12.328376320,1
12.329639840,0
12.329641760,1
12.329643040,0
12.329645760,1
12.329646400,0
12.330088320,1
12.331351520,0
12.331353440,1
12.331354720,0
12.331800320,1
12.333063040,0
12.333065120,1
12.333066400,0
12.333514240,1
12.333905440,0
12.333907520,1
12.333908800,0
12.333911200,1
12.333912000,0
12.334357760,1
12.334747840,0
12.334749920,1
12.334751040,0
12.334753440,1
12.334754400,0
12.335195840,1
12.336513920,0
12.336516000,1
12.336517120,0
12.336519520,1
12.336520480,0
12.336910080,1
12.337301920,0
12.337304000,1
12.337305120,0
12.337307840,1
12.337308480,0
12.337754560,1
12.338144320,0
12.338146400,1
12.338147520,0
12.338149920,1
12.338150880,0
12.338623680,1
12.338986720,0
12.338988640,1
12.338989920,0
12.338992160,1
12.338993120,0
12.339466240,1
12.339828960,0
12.339830880,1
12.339832160,0
12.339834400,1
12.339835360,0
12.340308320,1
12.340671200,0
12.340673280,1
12.340674400,0
12.340676800,1
12.340677760,0
12.341150880,1
12.341513600,0
12.341515680,1
12.341516800,0
12.341519200,1
12.341520160,0
12.341993120,1
12.342356000,0
12.342358080,1
12.342359200,0
12.342361440,1
12.342362400,0
12.342835520,1
12.343198400,0
12.343200480,1
12.343201600,0
12.343203840,1
12.343204800,0
12.343677920,1
12.344040800,0
12.344042880,1
12.344044000,0
12.344046400,1
12.344047360,0
12.344520320,1
12.344883200,0
12.344885280,1
12.344886400,0
12.344888800,1
12.344889760,0
12.345362880,1
12.345725600,0
12.345727680,1
12.345728800,0
12.345731040,1
12.345732000,0
12.346204960,1
12.346567840,0
12.346569920,1
12.346571200,0
12.346573440,1
12.346574400,0
12.347047520,1
12.347410240,0
12.347412320,1
12.347413440,0
12.347415680,1
12.347416640,0
12.347889600,1
12.348252640,0
12.348254560,1
12.348255840,0
12.348258080,1
12.348259040,0
12.348732160,1
12.349094880,0
12.349096960,1
12.349098080,0
12.349100320,1
12.349101280,0
12.349574240,1
12.349937120,0
12.349939200,1
12.349940480,0
12.349942720,1
12.349943680,0
12.350416800,1
12.350779520,0
12.350781600,1
12.350782720,0
12.350785120,1
12.350786080,0
12.351258880,1
12.351621760,0
12.351623840,1
12.351624960,0
12.351627360,1
12.351628320,0
12.352101280,1
12.353360320,0
12.353362400,1
12.353363520,0
12.353365920,1
12.353366880,0
12.353781760,1
12.354175520,0
12.354177440,1
12.354178720,0
12.354181120,1
12.354181920,0
12.354654880,1
12.355017760,0
12.355019840,1
12.355020960,0
12.355023360,1
12.355024320,0
12.355497280,1
12.356783520,0
12.356785600,1
12.356786720,0
12.356789280,1
12.356790080,0
12.357210880,1
12.357571520,0
12.357573600,1
12.357574720,0
12.358023840,1
12.358413760,0
12.358415840,1
12.358416960,0
12.358419360,1
12.358420320,0
12.358892960,1
12.360179680,0
12.360181600,1
12.360182880,0
12.360185280,1
12.360186080,0
12.360575680,1
12.360967680,0
12.360969760,1
12.360970880,0
12.360973440,1
12.360974080,0
12.361451360,1
12.361809920,0
12.361812000,1
12.361813120,0
12.361815520,1
12.361816480,0
12.362289280,1
12.363575520,0
12.363577600,1
12.363578720,0
12.363581280,1
12.363582080,0
12.364002880,1
12.364363360,0
12.364365440,1
12.364366720,0
12.364369280,1
12.364369920,0
12.364847200,1
12.365205600,0
12.365207680,1
12.365208960,0
12.365211200,1
12.365212160,0
12.365684960,1
12.366971520,0
12.366973600,1
12.366974720,0
12.366977280,1
12.366977920,0
12.367398880,1
12.368628800,0
12.368630880,1
12.368632000,0
12.368634400,1
12.368635360,0
12.369077280,1
12.369471200,0
12.369473280,1
12.369474400,0
12.369476800,1
12.369477760,0
12.369950560,1
12.370313600,0
12.370315520,1
12.370316800,0
12.370319200,1
12.370320000,0
12.370793120,1
12.371155840,0
12.371157920,1
12.371159040,0
12.371161440,1
12.371162400,0
12.371635360,1
12.371998240,0
12.372000160,1
12.372001440,0
12.372003680,1
12.372004640,0
12.372477760,1
12.372840320,0
12.372842400,1
12.372843520,0
12.372845920,1
12.372846880,0
12.373319680,1
12.373682720,0
12.373684640,1
12.373685920,0
12.373688160,1
12.373689120,0
12.374162240,1
12.374524960,0
12.374526880,1
12.374528160,0
12.374530400,1
12.374531360,0
12.375004320,1
12.375367200,0
12.375369120,1
12.375370400,0
12.375372640,1
12.375373600,0
12.375846720,1
12.376209280,0
12.376211360,1
12.376212480,0
12.376214720,1
12.376215680,0
12.376688640,1
12.377051360,0
12.377053440,1
12.377054560,0
12.377056960,1
12.377057920,0
12.377531040,1
12.377893760,0
12.377895680,1
12.377896960,0
12.377899200,1
12.377900160,0
12.378373120,1
12.378735840,0
12.378737920,1
12.378739040,0
12.378741440,1
12.378742400,0
12.379215360,1
12.379578080,0
12.379580160,1
12.379581440,0
12.379583680,1
12.379584640,0
12.380057440,1
12.380420320,0
12.380422400,1
12.380423520,0
12.380425920,1
12.380426880,0
12.380899840,1
12.382158880,0
12.382160960,1
12.382162240,0
12.382164640,1
12.382165440,0
12.382580320,1
12.382974080,0
12.382976160,1
12.382977280,0
12.382979680,1
12.382980640,0
12.383453600,1
12.384740160,0
12.384742080,1
12.384743360,0
12.384745920,1
12.384746560,0
12.385167520,1
12.385528160,0
12.385530240,1
12.385531360,0
12.385533920,1
12.385534720,0
12.386011840,1
12.386370560,0
12.386372480,1
12.386373760,0
12.386376000,1
12.386376960,0
12.386849760,1
12.387212800,0
12.387214880,1
12.387216000,0
12.387218400,1
12.387219200,0
12.387692320,1
12.388055040,0
12.388057120,1
12.388058240,0
12.388060640,1
12.388061600,0
12.388534560,1
12.388897280,0
12.388899360,1
12.388900480,0
12.388902880,1
12.388903840,0
12.389376640,1
12.389739520,0
12.389741440,1
12.389742720,0
12.389744960,1
12.389745920,0
12.390218880,1
12.390581760,0
12.390583680,1
12.390584960,0
12.390587360,1
12.390588160,0
12.391061120,1
12.391424000,0
12.391426080,1
12.391427200,0
12.391429440,1
12.391430400,0
12.391903520,1
12.392266240,0
12.392268320,1
12.392269440,0
12.392271840,1
12.392272640,0
12.392745600,1
12.393108480,0
12.393110560,1
12.393111680,0
12.393114080,1
12.393115040,0
12.393588160,1
12.393950720,0
12.393952640,1
12.393953920,0
12.393956160,1
12.393957120,0
12.394430080,1
12.394792800,0
12.394794880,1
12.394796160,0
12.394798400,1
12.394799360,0
12.395272320,1
12.395635040,0
12.395636960,1
12.395638240,0
12.395640480,1
12.395641440,0
12.396114400,1
12.396477120,0
12.396479200,1
12.396480320,0
12.396482720,1
12.396483520,0
12.396956480,1
12.397319200,0
12.397321280,1
12.397322560,0
12.397324800,1
12.397325760,0
12.397798720,1
12.398161280,0
12.398163360,1
12.398164480,0
12.398166880,1
12.398167840,0
12.398640640,1
12.399003360,0
12.399005440,1
12.399006560,0
12.399008960,1
12.399009760,0
12.399482720,1
12.399845440,0
12.399847520,1
12.399848640,0
12.399851040,1
12.399852000,0
12.400324960,1
12.401583840,0
12.401585920,1
12.401587200,0
12.401589440,1
12.401590400,0
12.402036480,1
12.403268320,0
12.403270240,1
12.403271520,0
12.403716640,1
12.404979680,0
12.404981760,1
12.404983040,0
12.405431360,1
12.405822080,0
12.405824160,1
12.405825280,0
12.405828000,1
12.405828640,0
12.406301760,1
12.406664320,0
12.406666400,1
12.406667680,0
12.406669920,1
12.406670880,0
12.407143840,1
12.407506560,0
12.407508640,1
12.407509760,0
12.407512160,1
12.407513120,0
12.407986080,1
12.408348640,0
12.408350720,1
12.408352000,0
12.408354240,1
12.408355200,0
12.408828000,1
12.409190880,0
12.409192800,1
12.409194080,0
12.409196320,1
12.409197280,0
12.409670240,1
12.410033120,0
12.410035040,1
12.410036320,0
12.410038560,1
12.410039520,0
12.410512480,1
12.410875200,0
12.410877280,1
12.410878400,0
12.410880800,1
12.410881760,0
12.411354560,1
12.411717440,0
12.411719360,1
12.411720640,0
12.411722880,1
12.411723840,0
12.412196640,1
12.412559520,0
12.412561600,1
12.412562720,0
